id,label,confidence,rationale
93,analysis,,one-shot batch (DeepSeek-V3.1)
94,hot_take,,one-shot batch (DeepSeek-V3.1)
95,skip,,one-shot batch (DeepSeek-V3.1)
96,hot_take,,one-shot batch (DeepSeek-V3.1)
97,reaction,,one-shot batch (DeepSeek-V3.1)
98,skip,,one-shot batch (DeepSeek-V3.1)
99,hot_take,,one-shot batch (DeepSeek-V3.1)
100,hot_take,,one-shot batch (DeepSeek-V3.1)
101,skip,,one-shot batch (DeepSeek-V3.1)
102,skip,,one-shot batch (DeepSeek-V3.1)
103,skip,,one-shot batch (DeepSeek-V3.1)
104,skip,,one-shot batch (DeepSeek-V3.1)
105,skip,,one-shot batch (DeepSeek-V3.1)
106,skip,,one-shot batch (DeepSeek-V3.1)
107,skip,,one-shot batch (DeepSeek-V3.1)
108,hot_take,,one-shot batch (DeepSeek-V3.1)
109,hot_take,,one-shot batch (DeepSeek-V3.1)
110,skip,,one-shot batch (DeepSeek-V3.1)
111,reaction,,one-shot batch (DeepSeek-V3.1)
112,hot_take,,one-shot batch (DeepSeek-V3.1)
113,mixed,,one-shot batch (DeepSeek-V3.1)
114,skip,,one-shot batch (DeepSeek-V3.1)
115,hot_take,,one-shot batch (DeepSeek-V3.1)
116,skip,,one-shot batch (DeepSeek-V3.1)
117,analysis,,one-shot batch (DeepSeek-V3.1)
118,hot_take,,one-shot batch (DeepSeek-V3.1)
119,mixed,,one-shot batch (DeepSeek-V3.1)
120,analysis,,one-shot batch (DeepSeek-V3.1)
121,skip,,one-shot batch (DeepSeek-V3.1)
122,mixed,,one-shot batch (DeepSeek-V3.1)
123,skip,,one-shot batch (DeepSeek-V3.1)
124,analysis,,one-shot batch (DeepSeek-V3.1)
125,reaction,,one-shot batch (DeepSeek-V3.1)
126,hot_take,,one-shot batch (DeepSeek-V3.1)
127,analysis,,one-shot batch (DeepSeek-V3.1)
128,reaction,,one-shot batch (DeepSeek-V3.1)
129,analysis,,one-shot batch (DeepSeek-V3.1)
130,analysis,,one-shot batch (DeepSeek-V3.1)
131,skip,,one-shot batch (DeepSeek-V3.1)
132,analysis,,one-shot batch (DeepSeek-V3.1)
133,hot_take,,one-shot batch (DeepSeek-V3.1)
134,reaction,,one-shot batch (DeepSeek-V3.1)
135,skip,,one-shot batch (DeepSeek-V3.1)
136,skip,,one-shot batch (DeepSeek-V3.1)
137,reaction,,one-shot batch (DeepSeek-V3.1)
138,analysis,,one-shot batch (DeepSeek-V3.1)
139,reaction,,one-shot batch (DeepSeek-V3.1)
140,skip,,one-shot batch (DeepSeek-V3.1)
141,skip,,one-shot batch (DeepSeek-V3.1)
142,skip,,one-shot batch (DeepSeek-V3.1)
143,skip,,one-shot batch (DeepSeek-V3.1)
144,mixed,,one-shot batch (DeepSeek-V3.1)
145,skip,,one-shot batch (DeepSeek-V3.1)
146,analysis,,one-shot batch (DeepSeek-V3.1)
147,skip,,one-shot batch (DeepSeek-V3.1)
148,skip,,one-shot batch (DeepSeek-V3.1)
149,skip,,one-shot batch (DeepSeek-V3.1)
150,skip,,one-shot batch (DeepSeek-V3.1)
151,hot_take,,one-shot batch (DeepSeek-V3.1)
152,analysis,,one-shot batch (DeepSeek-V3.1)
153,hot_take,,one-shot batch (DeepSeek-V3.1)
154,skip,,one-shot batch (DeepSeek-V3.1)
155,analysis,,one-shot batch (DeepSeek-V3.1)
156,hot_take,,one-shot batch (DeepSeek-V3.1)
157,skip,,one-shot batch (DeepSeek-V3.1)
158,skip,,one-shot batch (DeepSeek-V3.1)
159,hot_take,,one-shot batch (DeepSeek-V3.1)
160,analysis,,one-shot batch (DeepSeek-V3.1)
161,skip,,one-shot batch (DeepSeek-V3.1)
162,skip,,one-shot batch (DeepSeek-V3.1)
163,hot_take,,one-shot batch (DeepSeek-V3.1)
164,skip,,one-shot batch (DeepSeek-V3.1)
165,analysis,,one-shot batch (DeepSeek-V3.1)
166,analysis,,one-shot batch (DeepSeek-V3.1)
167,skip,,one-shot batch (DeepSeek-V3.1)
168,skip,,one-shot batch (DeepSeek-V3.1)
169,mixed,,one-shot batch (DeepSeek-V3.1)
170,analysis,,one-shot batch (DeepSeek-V3.1)
171,analysis,,one-shot batch (DeepSeek-V3.1)
172,skip,,one-shot batch (DeepSeek-V3.1)
173,hot_take,,one-shot batch (DeepSeek-V3.1)
174,reaction,,one-shot batch (DeepSeek-V3.1)
175,skip,,one-shot batch (DeepSeek-V3.1)
176,skip,,one-shot batch (DeepSeek-V3.1)
177,skip,,one-shot batch (DeepSeek-V3.1)
178,reaction,,one-shot batch (DeepSeek-V3.1)
179,hot_take,,one-shot batch (DeepSeek-V3.1)
180,reaction,,one-shot batch (DeepSeek-V3.1)
181,analysis,,one-shot batch (DeepSeek-V3.1)
182,hot_take,,one-shot batch (DeepSeek-V3.1)
183,reaction,,one-shot batch (DeepSeek-V3.1)
184,mixed,,one-shot batch (DeepSeek-V3.1)
185,skip,,one-shot batch (DeepSeek-V3.1)
186,skip,,one-shot batch (DeepSeek-V3.1)
187,analysis,,one-shot batch (DeepSeek-V3.1)
188,hot_take,,one-shot batch (DeepSeek-V3.1)
189,skip,,one-shot batch (DeepSeek-V3.1)
190,skip,,one-shot batch (DeepSeek-V3.1)
191,reaction,,one-shot batch (DeepSeek-V3.1)
192,skip,,one-shot batch (DeepSeek-V3.1)
193,reaction,,one-shot batch (DeepSeek-V3.1)
194,hot_take,,one-shot batch (DeepSeek-V3.1)
195,reaction,,one-shot batch (DeepSeek-V3.1)
196,reaction,,one-shot batch (DeepSeek-V3.1)
197,mixed,,one-shot batch (DeepSeek-V3.1)
198,mixed,,one-shot batch (DeepSeek-V3.1)
199,reaction,,one-shot batch (DeepSeek-V3.1)
200,analysis,,one-shot batch (DeepSeek-V3.1)
