id,label,confidence,sarcasm,verifiable,rationale
131,reaction,0.8,False,True,Reports recent event
132,analysis,0.9,False,True,Specific data claim
133,hot_take,0.9,False,False,Bold opinion
134,skip,0.0,False,False,error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `
135,analysis,0.8,False,True,Historical data
136,skip,0.9,False,False,Pure news prompt
137,reaction,0.9,False,False,Emotional response
138,skip,0.0,False,False,error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `
139,reaction,0.9,False,False,Emotional response
140,skip,0.0,False,False,error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `
141,skip,0.0,False,False,error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `
142,skip,0.0,False,False,error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `
143,skip,0.0,False,False,error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `
144,mixed,0.8,False,True,Emotion with tactical insight
145,skip,0.9,False,True,Pure news report
146,analysis,0.9,False,True,structured argument with evidence
147,skip,0.9,False,True,Pure news report
148,skip,0.9,False,True,Pure news report
149,reaction,0.8,False,True,Recent event response
150,skip,0.9,False,False,Pure news report
151,analysis,0.8,False,True,Specific stat mentioned
152,skip,0.0,False,False,error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `
153,hot_take,0.9,False,True,Bold claim
154,analysis,0.8,False,True,Objective match assessment
155,analysis,0.9,False,True,Specific tactics
156,skip,0.0,False,False,error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `
157,skip,0.0,False,False,error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `
158,skip,0.0,False,False,error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `
159,hot_take,0.9,False,False,Bold opinion
160,analysis,0.9,False,True,Specific stat
161,hot_take,0.8,False,False,Bold opinion
162,skip,1.0,False,True,Pure news report
163,hot_take,0.9,False,False,bold opinion
164,analysis,0.8,False,True,Tactical reasoning
165,analysis,0.9,False,True,Specific MLS roster rules
166,analysis,0.9,False,True,Tactical explanation
167,skip,0.9,False,True,Pure news report
168,reaction,0.8,False,True,Reports recent event
169,reaction,0.8,False,True,Emotional response
170,analysis,0.9,False,True,Specific stats and facts
171,analysis,0.9,False,True,Specific stats provided
172,skip,0.9,False,True,Pure news report
173,hot_take,0.9,True,False,Sarcastic opinion
174,reaction,0.9,False,False,Emotional response
175,skip,0.0,False,False,error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `
176,skip,0.9,False,True,Pure news report
177,skip,0.9,False,False,Pure news report
178,skip,0.0,False,False,error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `
179,hot_take,0.9,False,False,Opinion without evidence
180,reaction,0.9,False,False,Emotional response
181,analysis,0.9,False,True,Specific tactic and stat
182,hot_take,0.9,False,False,Bold opinion
183,reaction,0.9,False,False,Emotional response
184,mixed,0.8,False,True,Balanced emotion and critique
185,skip,0.9,False,False,Pure news report
186,skip,0.9,False,True,Pure news report
187,analysis,0.9,False,True,Specific stat cited
188,hot_take,0.9,False,False,Opinion without evidence
189,skip,0.0,False,False,error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `
190,reaction,0.8,False,True,Reports recent event
191,reaction,0.9,False,False,Emotional response
192,skip,0.9,False,False,Pure news report
193,reaction,0.9,False,False,Emotional response
194,hot_take,0.9,False,False,Bold opinion
195,reaction,0.8,False,False,Emotional response
196,reaction,0.9,False,True,Emotional response
197,mixed,0.9,False,True,Emotion with statistical evidence
198,mixed,0.8,False,True,Emotion with specific stats
199,reaction,0.9,False,False,Emotional response
200,analysis,0.9,False,True,Tactical explanation
