id,label,confidence,rationale
65,reaction,0.97,"Immediate penalty-save emotion"
66,hot_take,0.94,"Sarcastic identity claim"
67,skip,0.93,"Pure news report"
68,hot_take,0.94,"Sweeping dynasty claim"
69,hot_take,0.82,"Manager-out assertion with vague evidence"
70,mixed,0.88,"Celebration plus underlying-numbers warning"
71,skip,0.94,"Transfer rumor headline"
72,reaction,0.97,"Chaotic equalizer emotion"
73,skip,0.93,"Mascot incident news"
74,skip,0.82,"Question headline, no take"
75,hot_take,0.95,"Sweeping player judgment"
76,skip,0.94,"Pure result headline"
77,skip,0.94,"Pure transfer dispute report"
78,reaction,0.96,"Immediate embarrassment after loss"
79,hot_take,0.95,"Bold player claim, no evidence"
80,skip,0.94,"Pure incident report"
81,skip,0.93,"Pure graduation news"
82,mixed,0.9,"Emotion plus performance critique"
83,skip,0.93,"Live match page prompt"
84,skip,0.95,"Transfer window tracker"
85,skip,0.82,"Explainer teaser, no take"
86,reaction,0.94,"Immediate fan despair"
87,reaction,0.97,"Overwhelmed by wild match"
88,skip,0.93,"Route preview headline"
89,hot_take,0.86,"Broad culture claim, vague evidence"
90,skip,0.94,"Pure legal news report"
91,skip,0.94,"Pure result headline"
92,skip,0.93,"Pure team news report"
93,analysis,0.96,"xG and tactical evidence"
94,hot_take,0.95,"GOAT claim without evidence"
95,skip,0.94,"Pure result report"
96,hot_take,0.93,"Absolutist spending claim"
97,hot_take,0.86,"Sarcastic board complaint"
98,skip,0.86,"Article teaser, little argument"
99,hot_take,0.94,"Contrarian era claim"
100,hot_take,0.94,"Unsupported system-player claim"
101,skip,0.94,"Interactive tool promotion"
102,skip,0.94,"Lifestyle news report"
103,skip,0.83,"Question headline, no take"
104,skip,0.94,"Pure kit reaction news"
105,analysis,0.76,"Article headline signals performance critique"
106,skip,0.88,"Feature setup, no take"
107,analysis,0.78,"Transfer pursuit used as argument"
108,hot_take,0.92,"Prediction without evidence"
109,hot_take,0.93,"Normative shootout claim"
110,skip,0.94,"Pure milestone report"
111,reaction,0.97,"Immediate comeback celebration"
112,hot_take,0.95,"Nostalgia claim without evidence"
113,mixed,0.9,"Joy plus tactical criticism"
114,skip,0.86,"Coach quote news report"
115,hot_take,0.86,"Cherry-picked stat supports insult"
116,skip,0.94,"Pure result report"
117,analysis,0.95,"Specific crossing data argument"
118,hot_take,0.95,"League dismissal without evidence"
119,mixed,0.88,"Praise plus tactical critique"
120,analysis,0.95,"Specific VAR and spacing evidence"
121,skip,0.94,"Pure kit news"
122,analysis,0.88,"Specific defensive-line critique"
123,analysis,0.78,"Program-change claim with context"
124,analysis,0.95,"Specific underlying-numbers rebuttal"
125,hot_take,0.88,"Clutch claim dismisses stats"
126,hot_take,0.94,"Simplistic tactics dismissal"
127,analysis,0.95,"Specific xGD and wage evidence"
128,reaction,0.97,"Immediate goal celebration"
129,analysis,0.96,"Specific keeper metrics argument"
130,analysis,0.95,"Specific regression argument"
131,skip,0.82,"Pure match report summary"
132,analysis,0.95,"Historical data supports claim"
133,hot_take,0.95,"Absolutist trend complaint"
134,reaction,0.98,"Immediate derby winner emotion"
135,skip,0.82,"Historical list prompt"
136,skip,0.93,"Quiz prompt"
137,reaction,0.96,"Late winner emotional response"
138,analysis,0.95,"Lineup-split xGA evidence"
139,reaction,0.9,"Renewed hope after goals"
140,skip,0.87,"Article headline, no take"
141,analysis,0.78,"Performance critique in match summary"
142,skip,0.94,"Schedule breakdown"
143,skip,0.93,"Qualification preview"
144,mixed,0.9,"Heartbreak plus tactical analysis"
145,skip,0.94,"Qualification table headline"
146,analysis,0.93,"Structured World Cup format argument"
147,skip,0.94,"Sponsorship kit news"
148,skip,0.94,"Photo caption report"
149,skip,0.82,"Article framing, no direct take"
150,analysis,0.77,"Headline signals tactical critique"
151,analysis,0.82,"Specific record claim"
152,analysis,0.95,"Detailed midfield spacing explanation"
153,hot_take,0.93,"Best-player claim with decorative stat"
154,analysis,0.8,"Balanced match assessment"
155,analysis,0.96,"Specific tactical structure"
156,hot_take,0.95,"Player dismissal without evidence"
157,skip,0.94,"Transfer rumor headline"
158,skip,0.94,"Product collection news"
159,hot_take,0.95,"Simplistic goalkeeper trend claim"
160,analysis,0.95,"Structural pipeline argument"
161,skip,0.78,"Vague feature headline"
162,skip,0.95,"Transfer window tracker"
163,hot_take,0.94,"Sweeping national claim"
164,skip,0.82,"Scenario news teaser"
165,analysis,0.95,"Roster-rule structural argument"
166,analysis,0.96,"Detailed rest-defense explanation"
167,skip,0.94,"Product drop news"
168,skip,0.91,"Pure post-match report"
169,mixed,0.88,"Delight plus campaign critique"
170,analysis,0.96,"Specific set-piece evidence"
171,analysis,0.96,"Specific high-line xG comparison"
172,skip,0.93,"Manager quote report"
173,hot_take,0.94,"Sweeping manager claim"
174,reaction,0.97,"Penalty-save final emotion"
175,skip,0.92,"Live news page headline"
176,skip,0.94,"Pure result report"
177,skip,0.92,"Trivia article headline"
178,reaction,0.95,"Post-match joy"
179,hot_take,0.95,"Provocative anti-team claim"
180,reaction,0.95,"Emotional gallows humor"
181,analysis,0.96,"Specific pressing trigger evidence"
182,hot_take,0.93,"Broad market complaint"
183,reaction,0.97,"Immediate qualification celebration"
184,mixed,0.9,"Derby joy plus balanced critique"
185,skip,0.93,"Entertainment news report"
186,skip,0.94,"Pure result report"
187,analysis,0.95,"Specific metric distinction"
188,hot_take,0.95,"Absolutist winger claim"
189,skip,0.92,"Question headline, no take"
190,skip,0.88,"Injury news question"
191,reaction,0.97,"Immediate wonder at goal"
192,skip,0.9,"Article teaser, no argument"
193,reaction,0.96,"Relegation despair"
194,hot_take,0.95,"Unsupported era claim"
195,analysis,0.82,"Lineup critique with tactical reason"
196,mixed,0.84,"Frustration plus shot evidence"
197,mixed,0.94,"Emotion plus xG argument"
198,mixed,0.91,"Hype plus defensive evidence"
199,reaction,0.97,"Immediate anger at miss"
200,analysis,0.96,"Specific wing-back tactical explanation"
