id,label,confidence,rationale
169,mixed,,one-shot batch (gemini-2.5-flash)
170,analysis,,one-shot batch (gemini-2.5-flash)
171,analysis,,one-shot batch (gemini-2.5-flash)
172,skip,,one-shot batch (gemini-2.5-flash)
173,hot_take,,one-shot batch (gemini-2.5-flash)
174,reaction,,one-shot batch (gemini-2.5-flash)
175,skip,,one-shot batch (gemini-2.5-flash)
176,skip,,one-shot batch (gemini-2.5-flash)
177,skip,,one-shot batch (gemini-2.5-flash)
178,reaction,,one-shot batch (gemini-2.5-flash)
179,hot_take,,one-shot batch (gemini-2.5-flash)
180,reaction,,one-shot batch (gemini-2.5-flash)
181,analysis,,one-shot batch (gemini-2.5-flash)
182,hot_take,,one-shot batch (gemini-2.5-flash)
183,reaction,,one-shot batch (gemini-2.5-flash)
184,mixed,,one-shot batch (gemini-2.5-flash)
185,skip,,one-shot batch (gemini-2.5-flash)
186,skip,,one-shot batch (gemini-2.5-flash)
187,analysis,,one-shot batch (gemini-2.5-flash)
188,hot_take,,one-shot batch (gemini-2.5-flash)
189,skip,,one-shot batch (gemini-2.5-flash)
190,skip,,one-shot batch (gemini-2.5-flash)
191,reaction,,one-shot batch (gemini-2.5-flash)
192,skip,,one-shot batch (gemini-2.5-flash)
193,reaction,,one-shot batch (gemini-2.5-flash)
194,hot_take,,one-shot batch (gemini-2.5-flash)
195,hot_take,,one-shot batch (gemini-2.5-flash)
196,mixed,,one-shot batch (gemini-2.5-flash)
197,mixed,,one-shot batch (gemini-2.5-flash)
198,mixed,,one-shot batch (gemini-2.5-flash)
199,reaction,,one-shot batch (gemini-2.5-flash)
200,analysis,,one-shot batch (gemini-2.5-flash)
