id,label,confidence,rationale
79,hot_take,,one-shot batch (DeepSeek-V3.2)
80,skip,,one-shot batch (DeepSeek-V3.2)
81,skip,,one-shot batch (DeepSeek-V3.2)
82,mixed,,one-shot batch (DeepSeek-V3.2)
83,skip,,one-shot batch (DeepSeek-V3.2)
84,skip,,one-shot batch (DeepSeek-V3.2)
85,skip,,one-shot batch (DeepSeek-V3.2)
86,reaction,,one-shot batch (DeepSeek-V3.2)
87,reaction,,one-shot batch (DeepSeek-V3.2)
88,skip,,one-shot batch (DeepSeek-V3.2)
89,hot_take,,one-shot batch (DeepSeek-V3.2)
90,skip,,one-shot batch (DeepSeek-V3.2)
91,skip,,one-shot batch (DeepSeek-V3.2)
92,skip,,one-shot batch (DeepSeek-V3.2)
93,analysis,,one-shot batch (DeepSeek-V3.2)
94,hot_take,,one-shot batch (DeepSeek-V3.2)
95,skip,,one-shot batch (DeepSeek-V3.2)
96,hot_take,,one-shot batch (DeepSeek-V3.2)
97,reaction,,one-shot batch (DeepSeek-V3.2)
98,skip,,one-shot batch (DeepSeek-V3.2)
99,hot_take,,one-shot batch (DeepSeek-V3.2)
100,hot_take,,one-shot batch (DeepSeek-V3.2)
101,skip,,one-shot batch (DeepSeek-V3.2)
102,skip,,one-shot batch (DeepSeek-V3.2)
103,skip,,one-shot batch (DeepSeek-V3.2)
104,skip,,one-shot batch (DeepSeek-V3.2)
105,skip,,one-shot batch (DeepSeek-V3.2)
106,skip,,one-shot batch (DeepSeek-V3.2)
107,skip,,one-shot batch (DeepSeek-V3.2)
108,hot_take,,one-shot batch (DeepSeek-V3.2)
109,hot_take,,one-shot batch (DeepSeek-V3.2)
110,skip,,one-shot batch (DeepSeek-V3.2)
111,reaction,,one-shot batch (DeepSeek-V3.2)
112,hot_take,,one-shot batch (DeepSeek-V3.2)
113,mixed,,one-shot batch (DeepSeek-V3.2)
114,skip,,one-shot batch (DeepSeek-V3.2)
115,hot_take,,one-shot batch (DeepSeek-V3.2)
116,skip,,one-shot batch (DeepSeek-V3.2)
117,analysis,,one-shot batch (DeepSeek-V3.2)
118,hot_take,,one-shot batch (DeepSeek-V3.2)
119,mixed,,one-shot batch (DeepSeek-V3.2)
120,analysis,,one-shot batch (DeepSeek-V3.2)
121,skip,,one-shot batch (DeepSeek-V3.2)
122,mixed,,one-shot batch (DeepSeek-V3.2)
123,skip,,one-shot batch (DeepSeek-V3.2)
124,analysis,,one-shot batch (DeepSeek-V3.2)
125,reaction,,one-shot batch (DeepSeek-V3.2)
126,hot_take,,one-shot batch (DeepSeek-V3.2)
127,analysis,,one-shot batch (DeepSeek-V3.2)
128,reaction,,one-shot batch (DeepSeek-V3.2)
129,analysis,,one-shot batch (DeepSeek-V3.2)
130,analysis,,one-shot batch (DeepSeek-V3.2)
131,skip,,one-shot batch (DeepSeek-V3.2)
132,analysis,,one-shot batch (DeepSeek-V3.2)
133,hot_take,,one-shot batch (DeepSeek-V3.2)
134,reaction,,one-shot batch (DeepSeek-V3.2)
135,skip,,one-shot batch (DeepSeek-V3.2)
136,skip,,one-shot batch (DeepSeek-V3.2)
137,reaction,,one-shot batch (DeepSeek-V3.2)
138,analysis,,one-shot batch (DeepSeek-V3.2)
139,reaction,,one-shot batch (DeepSeek-V3.2)
140,skip,,one-shot batch (DeepSeek-V3.2)
141,skip,,one-shot batch (DeepSeek-V3.2)
142,skip,,one-shot batch (DeepSeek-V3.2)
143,skip,,one-shot batch (DeepSeek-V3.2)
144,mixed,,one-shot batch (DeepSeek-V3.2)
145,skip,,one-shot batch (DeepSeek-V3.2)
146,analysis,,one-shot batch (DeepSeek-V3.2)
147,skip,,one-shot batch (DeepSeek-V3.2)
148,skip,,one-shot batch (DeepSeek-V3.2)
149,skip,,one-shot batch (DeepSeek-V3.2)
150,skip,,one-shot batch (DeepSeek-V3.2)
151,hot_take,,one-shot batch (DeepSeek-V3.2)
152,analysis,,one-shot batch (DeepSeek-V3.2)
153,reaction,,one-shot batch (DeepSeek-V3.2)
154,skip,,one-shot batch (DeepSeek-V3.2)
155,analysis,,one-shot batch (DeepSeek-V3.2)
156,hot_take,,one-shot batch (DeepSeek-V3.2)
157,skip,,one-shot batch (DeepSeek-V3.2)
158,skip,,one-shot batch (DeepSeek-V3.2)
159,hot_take,,one-shot batch (DeepSeek-V3.2)
160,analysis,,one-shot batch (DeepSeek-V3.2)
161,skip,,one-shot batch (DeepSeek-V3.2)
162,skip,,one-shot batch (DeepSeek-V3.2)
163,hot_take,,one-shot batch (DeepSeek-V3.2)
164,skip,,one-shot batch (DeepSeek-V3.2)
165,analysis,,one-shot batch (DeepSeek-V3.2)
166,analysis,,one-shot batch (DeepSeek-V3.2)
167,skip,,one-shot batch (DeepSeek-V3.2)
168,skip,,one-shot batch (DeepSeek-V3.2)
169,mixed,,one-shot batch (DeepSeek-V3.2)
170,analysis,,one-shot batch (DeepSeek-V3.2)
171,analysis,,one-shot batch (DeepSeek-V3.2)
172,skip,,one-shot batch (DeepSeek-V3.2)
173,hot_take,,one-shot batch (DeepSeek-V3.2)
174,reaction,,one-shot batch (DeepSeek-V3.2)
175,skip,,one-shot batch (DeepSeek-V3.2)
176,skip,,one-shot batch (DeepSeek-V3.2)
177,skip,,one-shot batch (DeepSeek-V3.2)
178,reaction,,one-shot batch (DeepSeek-V3.2)
179,hot_take,,one-shot batch (DeepSeek-V3.2)
180,reaction,,one-shot batch (DeepSeek-V3.2)
181,analysis,,one-shot batch (DeepSeek-V3.2)
182,hot_take,,one-shot batch (DeepSeek-V3.2)
183,reaction,,one-shot batch (DeepSeek-V3.2)
184,mixed,,one-shot batch (DeepSeek-V3.2)
185,skip,,one-shot batch (DeepSeek-V3.2)
186,skip,,one-shot batch (DeepSeek-V3.2)
187,analysis,,one-shot batch (DeepSeek-V3.2)
188,hot_take,,one-shot batch (DeepSeek-V3.2)
189,skip,,one-shot batch (DeepSeek-V3.2)
190,skip,,one-shot batch (DeepSeek-V3.2)
191,reaction,,one-shot batch (DeepSeek-V3.2)
192,skip,,one-shot batch (DeepSeek-V3.2)
193,reaction,,one-shot batch (DeepSeek-V3.2)
194,hot_take,,one-shot batch (DeepSeek-V3.2)
195,reaction,,one-shot batch (DeepSeek-V3.2)
196,reaction,,one-shot batch (DeepSeek-V3.2)
197,mixed,,one-shot batch (DeepSeek-V3.2)
198,mixed,,one-shot batch (DeepSeek-V3.2)
199,reaction,,one-shot batch (DeepSeek-V3.2)
200,analysis,,one-shot batch (DeepSeek-V3.2)
