id,label,confidence,rationale
108,mixed,0.82,ambiguous tone and content
109,mixed,0.82,ambiguous tone and content
110,analysis,0.92,numeric/statistical claim
111,mixed,0.82,ambiguous tone and content
112,analysis,0.92,numeric/statistical claim
113,reaction,0.90,emotional in-the-moment response
114,hot_take,0.86,sweeping normative claim
115,hot_take,0.86,"bold assertion, little evidence"
116,analysis,0.92,numeric/statistical claim
117,analysis,0.92,numeric/statistical claim
118,mixed,0.82,ambiguous tone and content
119,mixed,0.82,ambiguous tone and content
120,analysis,0.92,specific stats or verifiable claim
121,analysis,0.92,numeric/statistical claim
122,mixed,0.82,ambiguous tone and content
123,analysis,0.92,numeric/statistical claim
124,analysis,0.92,specific stats or verifiable claim
125,hot_take,0.86,"bold assertion, little evidence"
126,mixed,0.82,ambiguous tone and content
127,analysis,0.92,specific stats or verifiable claim
128,reaction,0.90,emotional in-the-moment response
129,analysis,0.92,numeric/statistical claim
130,analysis,0.92,numeric/statistical claim
131,mixed,0.82,ambiguous tone and content
132,analysis,0.92,specific stats or verifiable claim
133,mixed,0.82,ambiguous tone and content
134,reaction,0.90,emotional in-the-moment response
135,analysis,0.92,numeric/statistical claim
136,analysis,0.92,numeric/statistical claim
137,analysis,0.92,numeric/statistical claim
138,analysis,0.92,specific stats or verifiable claim
139,mixed,0.82,ambiguous tone and content
140,mixed,0.82,ambiguous tone and content
141,analysis,0.92,numeric/statistical claim
142,analysis,0.92,numeric/statistical claim
143,mixed,0.82,ambiguous tone and content
144,reaction,0.90,emotional in-the-moment response
145,analysis,0.92,numeric/statistical claim
146,analysis,0.92,numeric/statistical claim
147,analysis,0.92,numeric/statistical claim
148,mixed,0.82,ambiguous tone and content
149,mixed,0.82,ambiguous tone and content
150,mixed,0.82,ambiguous tone and content
151,analysis,0.92,numeric/statistical claim
152,hot_take,0.86,"bold assertion, little evidence"
153,analysis,0.92,numeric/statistical claim
154,mixed,0.82,ambiguous tone and content
155,analysis,0.92,numeric/statistical claim
156,mixed,0.82,ambiguous tone and content
157,mixed,0.82,ambiguous tone and content
158,analysis,0.92,numeric/statistical claim
159,mixed,0.82,ambiguous tone and content
160,analysis,0.92,numeric/statistical claim
161,mixed,0.82,ambiguous tone and content
162,analysis,0.92,numeric/statistical claim
163,analysis,0.92,numeric/statistical claim
164,mixed,0.82,ambiguous tone and content
165,mixed,0.82,ambiguous tone and content
166,analysis,0.92,numeric/statistical claim
167,analysis,0.92,numeric/statistical claim
168,analysis,0.92,numeric/statistical claim
169,mixed,0.82,ambiguous tone and content
170,analysis,0.92,specific stats or verifiable claim
171,analysis,0.92,specific stats or verifiable claim
172,analysis,0.92,numeric/statistical claim
173,mixed,0.82,ambiguous tone and content
174,reaction,0.90,emotional in-the-moment response
175,analysis,0.92,numeric/statistical claim
176,analysis,0.92,numeric/statistical claim
177,mixed,0.82,ambiguous tone and content
178,mixed,0.82,ambiguous tone and content
179,mixed,0.82,ambiguous tone and content
180,mixed,0.82,emotion plus verifiable evidence
181,mixed,0.82,ambiguous tone and content
182,analysis,0.92,numeric/statistical claim
183,reaction,0.90,emotional in-the-moment response
184,analysis,0.92,numeric/statistical claim
185,mixed,0.82,ambiguous tone and content
186,analysis,0.92,numeric/statistical claim
187,analysis,0.92,specific stats or verifiable claim
188,hot_take,0.86,sweeping normative claim
189,mixed,0.82,ambiguous tone and content
190,mixed,0.82,ambiguous tone and content
191,mixed,0.82,ambiguous tone and content
192,mixed,0.82,ambiguous tone and content
193,mixed,0.82,ambiguous tone and content
194,analysis,0.92,numeric/statistical claim
195,mixed,0.82,ambiguous tone and content
196,analysis,0.92,numeric/statistical claim
197,analysis,0.92,specific stats or verifiable claim
198,analysis,0.92,numeric/statistical claim
199,analysis,0.92,numeric/statistical claim
200,analysis,0.92,numeric/statistical claim
