id,label,confidence,sarcasm,verifiable,rationale
169,mixed,0.8,False,True,Emotion plus backed-in qualification argument
170,analysis,0.9,False,True,Specific set-piece goal and height stats
171,analysis,0.9,False,True,High-line xG trade-off data
172,skip,0.9,False,True,Reported manager quote
173,hot_take,0.9,False,False,"Cynical generalization, no evidence"
174,reaction,0.95,False,False,Pure emotional reaction
175,skip,0.9,False,False,Live news roundup
176,skip,0.9,False,True,Match result report
177,skip,0.9,False,False,Trivia feature
178,reaction,0.95,False,False,Pure emotional reaction
179,hot_take,0.9,False,False,"Provocative opinion, no evidence"
180,reaction,0.9,False,False,Emotional gallows-humor reaction
181,analysis,0.9,False,True,Specific pressing triggers and turnover count
182,hot_take,0.85,False,False,"Market rant, decorative figure"
183,reaction,0.95,False,False,Pure emotional reaction
184,mixed,0.75,False,True,Joy plus soft-penalty performance critique
185,skip,0.9,False,False,Human-interest news
186,skip,0.9,False,True,Match result report
187,analysis,0.9,False,True,Open-play xA argument vs raw contributions
188,hot_take,0.9,False,False,"Absolutist opinion, no evidence"
189,skip,0.9,False,True,News headline
190,skip,0.9,False,True,Injury news
191,reaction,0.95,False,False,Pure emotional reaction
192,skip,0.9,False,False,Human-interest news
193,reaction,0.9,False,False,Emotional reaction to relegation
194,hot_take,0.9,False,False,"Era opinion, no evidence"
195,hot_take,0.55,False,False,"Opinionated selection complaint, asserted not argued"
196,reaction,0.7,False,True,Emotional venting with shot stat
197,mixed,0.85,False,True,Emotion plus xG structural argument
198,mixed,0.8,False,True,Excitement plus defensive-record caution
199,reaction,0.95,False,False,Pure emotional reaction
200,analysis,0.9,False,True,Wing-back pivot coverage tactical analysis
