id,text,label,notes,source
124,"Salah's underlying numbers are still top-three in the league for a winger — 0.55 xG+xA per 90. The 'he's finished' takes are reacting to a finishing cold spell, not a drop in chance creation.",,,curated
125,"Big game, big player. Always shows up when it matters and that's worth more than all the pretty stats people throw around.",,,curated
126,Klopp is a vibes manager. Take away the crowd and the press conferences and his tactics are just 'run a lot'.,,,curated
127,"Promotion-winning xGD last season was +0.6 a game; this season in the top flight it's -0.4. The squad didn't get worse, the league got better, and the wage bill says they were always going to scrap for survival.",,,curated
128,I literally jumped over my sofa when that went in. there's a lamp casualty. no regrets. SCENES.,,,curated
129,"Onana's distribution numbers are elite (88% under pressure) but his claim success rate on crosses is bottom-five among starting keepers. United's issues from set pieces trace directly back to that, not to the centre-backs.",,,curated
130,Corner conversion of 14% over a season is unsustainable — the league average is around 3%. Their points tally is inflated by a set-piece run that the underlying delivery quality doesn't support long term.,,,curated
131,England fail to repeat their performance that overpowered Croatia in their first World Cup game as they are held to a draw by a resolute Ghana at Boston Stadium.,,,rss:bbc
132,"Promoted teams that survive almost always do it with set pieces and a low xGA, not by trying to play out. The data on the last decade is brutal: the possession-based promoted sides get relegated at nearly double the rate.",,,curated
133,"Goalkeepers being forced to play out from the back is the dumbest trend in football. Just kick it long, cowards.",,,curated
134,"I AM SHAKING. 97th-minute winner in the derby, I literally cannot breathe right now. WHAT A GAME.",,,curated
135,Let's look back through history and name the top men's soccer player in the world for every year since 1979. Which 17 players have held the championship belt?,,,rss:espn
136,Test your knowledge of the Scotland and Brazil sides that faced each other at the 1998 World Cup,,,rss:bbc
137,watching my team on a grainy stream at 3am and we just scored a 90th minute winner and I woke up the whole house. SORRY NOT SORRY.,,,curated
138,"If you isolate minutes with both their first-choice centre-backs on the pitch, their xGA per 90 is top four. The problem isn't the system, it's that the pair has started together 9 times all season.",,,curated
139,"I told myself I wouldn't get my hopes up and then we scored twice in five minutes and now look at me, fully invested again.",,,curated
140,Five breakout World Cup stars who could prosper in the Premier League | David Pleat,,,rss:guardian
141,England were held to a frustrating 0-0 draw with Ghana following a tepid and lacklustre performance from Thomas Tuchel's squad throughout.,,,rss:sky
142,"Here's your day-by-day breakdown of the 48-team, 37-day World Cup which features 103 matches leading up to the final on July 19.",,,rss:sky
143,"Who can secure qualification before the group stage ends, and whose World Cup dreams could be shattered? Here's what you need to know.",,,rss:espn
144,"Heartbroken, but credit where it's due: their press was better coached than ours, they pinned our fullbacks and we had no out-ball. I'm upset and impressed at the same time, weird feeling.",,,curated
145,"World Cup 2026: third-place table, who has qualified and who needs what?",,,rss:guardian
146,"The reason the World Cup expansion to 48 teams favors bigger nations isn't the group stage, it's the extra knockout round. More matches means squad depth and rotation become decisive, which structurally disadvantages one-star teams.",,,curated
147,Barcelona will wear Ed Sheeran-themed shirts for El Clasico against Real Madrid on October 26 as part of their Spotify partnership.,,,rss:90min
148,England's Ezri Konsa makes a last-ditch attempt to stop Ghana's Prince Adu during their World Cup Group L match in Boston.,,,rss:bbc
149,"""Why does Cristiano Ronaldo still start?"" was a valid question after his dud vs. Congo DR, but he answered it emphatically in Portugal's win on Tuesday.",,,rss:espn
150,Ingenuity absent for turgid England as they fail to break down Ghana’s yellow wall | Jacob Steinberg,,,rss:guardian
151,LeBron of football lol but seriously Mbappe's playoff record against top seeds is below .500 if you actually check the knockout games.,,,curated
152,"The reason United's midfield gets overrun is spacing, not effort. Casemiro and Bruno occupy the same vertical lane in build-up, so the pivot is effectively one player. Watch the wide CB always has to step into midfield to cover.",,,curated
153,"Best player in the world and it's not close, 30 goals already, what else does he have to do for you people.",,,curated
154,"England's drab goalless draw with Ghana is no cause to panic - but it does serve as a reality check, writes Phil McNulty.",,,rss:bbc
155,Watch how Leverkusen built their unbeaten run: Xabi alternates a 3-4-2-1 in possession and a 4-4-2 mid-block out of possession. The full-back-to-wing-back transition is the whole trick and almost nobody pressed it correctly.,,,curated
156,Vinicius is more flair than end product. Strip out the diving and he's an average winger with a good highlight reel.,,,curated
157,Papers: Chelsea could sell Gusto to pave way for Palestra deal,,,rss:sky
158,"Kith and adidas Football drop their 2025 Fall collection, featuring jerseys, denim, footwear, and accessories blending football heritage with streetwear.",,,rss:90min
159,"Modern goalkeepers are outfield players who happen to wear gloves and it's made the position worse, not better. Just save the ball.",,,curated
160,"Italy missing the World Cup twice in a row isn't bad luck, it's a structural pipeline issue: the share of minutes given to Italian U-21s in Serie A is the lowest among the big five leagues. You can chart the talent drought.",,,curated
161,US Soccer spent decades searching for coherence. It found something better,,,rss:guardian
162,Men’s transfer window summer 2026: all deals from Europe’s top five leagues,,,rss:guardian
163,Brazil hasn't produced a real midfielder in 20 years and that's the whole reason they keep flaming out. Flair isn't football.,,,curated
164,Austria may prefer to lose their final World Cup group game in a potentially controversial finish to Group J.,,,rss:sky
165,MLS roster rules matter more than people admit: the three-DP cap plus targeted allocation money means most teams are top-heavy. That's why depth collapses in the playoffs when a DP gets injured.,,,curated
166,"Counter-pressing only works with the right rest defense. Klopp's best Liverpool kept a 2-3 base behind the ball so they could swarm immediately. The current side breaks with 4 forward, which is why one lost duel becomes a clean break.",,,curated
167,"The adidas F50 Spider x Kith returns in a stunning rework, but the exclusive drop is limited to Friends & Family only.",,,rss:90min
168,Cristiano Ronaldo hit back at his critics after scoring twice in Portugal's 5-0 thrashing of Uzbekistan.,,,rss:sky
169,Delighted to qualify but we backed into it — we lost our last two and got through on goal difference because rivals dropped points. I'm not going to overrate a campaign that limped over the line.,,,curated
170,"Arsenal's set-piece numbers are not a fluke. 14 of their 41 goals came from dead balls, they've got the tallest average starting XI in the league, and Nicolas Jover runs the most rehearsed near-post routines in the division.",,,curated
171,The data on high lines: PSG conceded 0.4 xG per game from through balls under the old setup and 0.9 now. Pushing 8 yards higher created more turnovers but the goals-against from balls in behind more than cancel the gain.,,,curated
172,"England manager Thomas Tuchel says England found it ""difficult"" to break down Ghana's defence, after the two teams played out a 0-0 draw at the 2026 World Cup.",,,rss:bbc
173,Every 'tactical genius' manager is one bad season from being exposed as a guy who got lucky with a great squad.,,,curated
174,the keeper saved the last penalty and I blacked out for a second. we're in the final. WE'RE IN THE FINAL.,,,curated
175,World Cup 2026: England frustrated; Scotland face Brazil; Infantino defends hydration breaks – live,,,rss:guardian
176,Ante Budimir came off the bench to ignite Croatia's World Cup and eliminate Panama as the 2018 finalists won 1-0 in Toronto.,,,rss:sky
177,Son mocked over military service and a drone shot down – will South Korea get chaotic World Cup back on track?,,,rss:guardian
178,Just got back from the match and my voice is completely gone. Worth it. WHAT a performance from the lads today.,,,curated
179,Italy not qualifying is good for football. Their style is anti-football and nobody outside Italy will miss them.,,,curated
180,two own goals and a red card in 20 minutes. I'm laughing because if I don't I'll cry. classic us.,,,curated
181,Look at the USMNT's pressing triggers under the new staff: they jump the moment the ball goes back to the keeper's weaker foot. Against Mexico they forced 7 turnovers in the final third doing exactly that.,,,curated
182,The transfer market is completely broken when a Championship full-back costs 40 million. Clubs have lost their minds.,,,curated
183,"WEMBLEY HERE WE COME!!! I'm crying in the office, my coworkers think I've lost it. UP THE TOON.",,,curated
184,"Ecstatic we won the derby but I'll say it: the penalty was soft and we'd be screaming if it went the other way. Three points are three points, the performance was a 5/10.",,,curated
185,Liverpool legends Steven Gerrard and John Arne Riise finally put their famous shots to the test in Seoul.,,,rss:90min
186,"Croatia remain in contention for a last-32 spot at the World Cup after earning their first points in Group L with a win over Panama, who are knocked out of the World Cup following the loss.",,,rss:bbc
187,Goal contributions per 90 are misleading for a deep playmaker. Look at xA from open play specifically: he's first in the league once you strip out the dead-ball assists that any decent set-piece taker would rack up.,,,curated
188,"Wingers who don't track back should be benched, full stop. I don't care how many goals they score, it's not worth it.",,,curated
189,England latest: Did Bellingham escape red card for covering his mouth?,,,rss:sky
190,Is there an injury scare for England? Declan Rice was seen leaving the mix zone with strapping around his calf.,,,rss:sky
191,THAT volley. I will be thinking about that volley on my deathbed. greatest goal I've ever seen live.,,,curated
192,Wayne Rooney reveals Manchester United’s secret weapon during their golden era – and it wasn’t tactics or training.,,,rss:90min
193,We're going down and I just sat in silence for ten minutes staring at the badge on my shirt. brutal.,,,curated
194,Half the 'world class' defenders today wouldn't survive against an actual No. 9 from the 2000s. Soft era.,,,curated
195,"Knew we'd lose the second the lineup dropped, no holding midfielder against the best counter-attacking side in the league, baffling team selection.",,,curated
196,"We bossed that and lost. football makes no sense. 22 shots, one goal, sums up our whole miserable season honestly.",,,curated
197,"Gutted we lost, genuinely sick to my stomach — but the xG was 0.4 to 2.1, we got battered and deserved nothing. Same broken midfield all season, the emotion doesn't change the fact we're structurally a mess.",,,curated
198,"I'm hyped, don't get me wrong, but let's be real: beating a ten-man side 1-0 at home after three straight losses doesn't fix a defensive line that's leaked nine goals in four games.",,,curated
199,"that miss. THAT MISS. open goal, six yards out, in the 89th minute. I have never been angrier at a television.",,,curated
200,"Wing-back systems live and die by the No. 6's lateral coverage. When Chelsea ran a 3-4-3, the single pivot had to cover sideline to sideline; teams that beat them simply switched play fast enough that one player couldn't.",,,curated
