id,sarcasm,verifiable,note
156,False,False,error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `
157,False,False,error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `
158,False,False,error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `
159,False,False,Bold opinion
160,False,True,Specific stat
161,False,False,Bold opinion
162,False,True,Pure news report
163,False,False,bold opinion
164,False,True,Tactical reasoning
165,False,True,Specific MLS roster rules
166,False,True,Tactical explanation
167,False,True,Pure news report
168,False,True,Reports recent event
169,False,True,Emotional response
170,False,True,Specific stats and facts
171,False,True,Specific stats provided
172,False,True,Pure news report
173,True,False,Sarcastic opinion
174,False,False,Emotional response
175,False,False,error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `
176,False,True,Pure news report
177,False,False,Pure news report
178,False,False,error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `
179,False,False,Opinion without evidence
180,False,False,Emotional response
181,False,True,Specific tactic and stat
182,False,False,Bold opinion
183,False,False,Emotional response
184,False,True,Balanced emotion and critique
185,False,False,Pure news report
186,False,True,Pure news report
187,False,True,Specific stat cited
188,False,False,Opinion without evidence
189,False,False,error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `
190,False,True,Reports recent event
191,False,False,Emotional response
192,False,False,Pure news report
193,False,False,Emotional response
194,False,False,Bold opinion
195,False,False,Emotional response
196,False,True,Emotional response
197,False,True,Emotion with statistical evidence
198,False,True,Emotion with specific stats
199,False,False,Emotional response
200,False,True,Tactical explanation
